"region_id","min_age","total"
"1","0","152500"
"1","5","179935"
"1","10","193003"
"1","15","191732"
"1","20","198118"
"1","25","208072"
"1","30","219290"
"1","35","240077"
"1","40","290053"
"1","45","342692"
"1","50","357279"
"1","55","331419"
"1","60","291087"
"1","65","267144"
"1","70","260991"
"1","75","216425"
"1","80","189439"
"1","85","117273"
"1","90","51019"
"1","95","12573"
"1","100","1096"
"2","0","4528"
"2","5","5544"
"2","10","6012"
"2","15","5881"
"2","20","5895"
"2","25","5975"
"2","30","6303"
"2","35","6871"
"2","40","8414"
"2","45","10141"
"2","50","10804"
"2","55","9953"
"2","60","8404"
"2","65","7656"
"2","70","7148"
"2","75","5941"
"2","80","4822"
"2","85","2978"
"2","90","1402"
"2","95","332"
"2","100","30"
"3","0","395569"
"3","5","458849"
"3","10","488665"
"3","15","474012"
"3","20","479236"
"3","25","506923"
"3","30","551429"
"3","35","612770"
"3","40","721733"
"3","45","823340"
"3","50","840172"
"3","55","751937"
"3","60","627132"
"3","65","561986"
"3","70","546328"
"3","75","449881"
"3","80","379655"
"3","85","229822"
"3","90","100183"
"3","95","25662"
"3","100","2318"
"4","0","49902"
"4","5","54111"
"4","10","56044"
"4","15","57222"
"4","20","59106"
"4","25","59743"
"4","30","60146"
"4","35","64043"
"4","40","70900"
"4","45","82852"
"4","50","88220"
"4","55","81124"
"4","60","66752"
"4","65","57316"
"4","70","52283"
"4","75","46646"
"4","80","34849"
"4","85","22723"
"4","90","10675"
"4","95","3194"
"4","100","218"
"5","0","183008"
"5","5","216171"
"5","10","234595"
"5","15","233587"
"5","20","237762"
"5","25","243464"
"5","30","253817"
"5","35","279024"
"5","40","340907"
"5","45","401145"
"5","50","416049"
"5","55","383411"
"5","60","320526"
"5","65","282684"
"5","70","268044"
"5","75","226399"
"5","80","181729"
"5","85","111301"
"5","90","50979"
"5","95","13389"
"5","100","1142"
"6","0","40811"
"6","5","48944"
"6","10","53019"
"6","15","53011"
"6","20","53324"
"6","25","56027"
"6","30","59498"
"6","35","66131"
"6","40","80715"
"6","45","97962"
"6","50","101015"
"6","55","95068"
"6","60","80786"
"6","65","75003"
"6","70","75536"
"6","75","65873"
"6","80","52165"
"6","85","31142"
"6","90","15101"
"6","95","4693"
"6","100","392"
"7","0","47405"
"7","5","56743"
"7","10","62884"
"7","15","64036"
"7","20","66774"
"7","25","69549"
"7","30","71777"
"7","35","75825"
"7","40","93428"
"7","45","118942"
"7","50","129255"
"7","55","123430"
"7","60","106434"
"7","65","96341"
"7","70","99427"
"7","75","86607"
"7","80","76299"
"7","85","49511"
"7","90","23342"
"7","95","6184"
"7","100","633"
"8","0","169286"
"8","5","197524"
"8","10","208803"
"8","15","200503"
"8","20","201857"
"8","25","218803"
"8","30","236663"
"8","35","264578"
"8","40","322550"
"8","45","370762"
"8","50","367173"
"8","55","336924"
"8","60","289217"
"8","65","252994"
"8","70","250694"
"8","75","206435"
"8","80","180771"
"8","85","116895"
