"region_id","min_age","total"
"1","18","175000"
"1","50","239000"
"1","65","233000"
"1","75","224000"
"1","85","92000"
"4","18","45000"
"4","50","55000"
"4","65","48000"
"4","75","50000"
"4","85","23000"
"5","18","213000"
"5","50","254000"
"5","65","274000"
"5","75","254000"
"5","85","118000"
"6","18","49000"
"6","50","76000"
"6","65","78000"
"6","75","75000"
"6","85","36000"
"7","18","66000"
"7","50","86000"
"7","65","91000"
"7","75","103000"
"7","85","56000"
"8","18","201000"
"8","50","246000"
"8","65","260000"
"8","75","258000"
"8","85","133000"
"9","18","139000"
"9","50","184000"
"9","65","242000"
"9","75","220000"
"9","85","137000"
"10","18","34000"
"10","50","49000"
"10","65","57000"
"10","75","53000"
"10","85","28000"
"11","18","46000"
"11","50","82000"
"11","65","91000"
"11","75","91000"
"11","85","47000"
"12","18","228000"
"12","50","334000"
"12","65","351000"
"12","75","293000"
"12","85","145000"
"13","18","39000"
"13","50","58000"
"13","65","72000"
"13","75","66000"
"13","85","37000"
"15","18","219000"
"15","50","409000"
"15","65","374000"
"15","75","285000"
"15","85","122000"
"16","18","102000"
"16","50","186000"
"16","65","266000"
"16","75","221000"
"16","85","105000"
"17","18","17000"
"17","50","32000"
"17","65","32000"
"17","75","35000"
"17","85","18000"
"18","18","65000"
"18","50","105000"
"18","65","115000"
"18","75","100000"
"18","85","52000"
"19","18","203000"
"19","50","236000"
"19","65","277000"
"19","75","232000"
"19","85","115000"
"20","18","107000"
"20","50","135000"
"20","65","108000"
"20","75","83000"
"20","85","41000"
"3","18","394744"
"3","50","548256"
"3","65","526326"
"3","75","504395"
"3","85","219302"
"2","18","14651"
"2","50","20349"
"2","65","19535"
"2","75","18721"
"2","85","8140"
"14","18","10884"
"14","50","15116"
"14","65","14512"
"14","75","13907"
"14","85","6047"
