"region_id","category","total","title"
"1","1","12298","medici specialisti"
"1","1","3669","medici generici"
"1","1","3707","odontoiatri"
"1","1","1147","ostetriche"
"1","1","25700","professioni sanitarie infermieristiche"
"1","1","6418","farmacisti"
"2","1","351","medici specialisti"
"2","1","96","medici generici"
"2","1","64","odontoiatri"
"2","1","50","ostetriche"
"2","1","855","professioni sanitarie infermieristiche"
"2","1","128","farmacisti"
"7","1","5584","medici specialisti"
"7","1","1420","medici generici"
"7","1","1670","odontoiatri"
"7","1","347","ostetriche"
"7","1","10810","professioni sanitarie infermieristiche"
"7","1","2262","farmacisti"
"3","1","29729","medici specialisti"
"3","1","37001","medici generici"
"3","1","8248","odontoiatri"
"3","1","2806","ostetriche"
"3","1","52973","professioni sanitarie infermieristiche"
"3","1","11803","farmacisti"
"4","1","2718","medici specialisti"
"4","1","776","medici generici"
"4","1","710","odontoiatri"
"4","1","431","ostetriche"
"4","1","7577","professioni sanitarie infermieristiche"
"4","1","908","farmacisti"
"5","1","12910","medici specialisti"
"5","1","3899","medici generici"
"5","1","4113","odontoiatri"
"5","1","1240","ostetriche"
"5","1","31341","professioni sanitarie infermieristiche"
"5","1","6008","farmacisti"
"6","1","3843","medici specialisti"
"6","1","1051","medici generici"
"6","1","1114","odontoiatri"
"6","1","387","ostetriche"
"6","1","8359","professioni sanitarie infermieristiche"
"6","1","1696","farmacisti"
"8","1","14785","medici specialisti"
"8","1","3890","medici generici"
"8","1","3854","odontoiatri"
"8","1","1401","ostetriche"
"8","1","28320","professioni sanitarie infermieristiche"
"8","1","6324","farmacisti"
"9","1","12791","medici specialisti"
"9","1","3562","medici generici"
"9","1","3257","odontoiatri"
"9","1","1178","ostetriche"
"9","1","24032","professioni sanitarie infermieristiche"
"9","1","4561","farmacisti"
"10","1","3031","medici specialisti"
"10","1","913","medici generici"
"10","1","757","odontoiatri"
"10","1","390","ostetriche"
"10","1","6100","professioni sanitarie infermieristiche"
"10","1","1272","farmacisti"
"11","1","4366","medici specialisti"
"11","1","1377","medici generici"
"11","1","1279","odontoiatri"
"11","1","523","ostetriche"
"11","1","9421","professioni sanitarie infermieristiche"
"11","1","2257","farmacisti"
"12","1","21613","medici specialisti"
"12","1","5333","medici generici"
"12","1","5129","odontoiatri"
"12","1","1510","ostetriche"
"12","1","32771","professioni sanitarie infermieristiche"
"12","1","6121","farmacisti"
"13","1","4207","medici specialisti"
"13","1","1410","medici generici"
"13","1","1377","odontoiatri"
"13","1","333","ostetriche"
"13","1","8349","professioni sanitarie infermieristiche"
"13","1","1877","farmacisti"
"14","1","833","medici specialisti"
"14","1","374","medici generici"
"14","1","258","odontoiatri"
"14","1","113","ostetriche"
"14","1","2251","professioni sanitarie infermieristiche"
"14","1","481","farmacisti"
"15","1","17186","medici specialisti"
"15","1","5078","medici generici"
"15","1","4171","odontoiatri"
"15","1","1522","ostetriche"
"15","1","26300","professioni sanitarie infermieristiche"
"15","1","4058","farmacisti"
"16","1","11363","medici specialisti"
"16","1","3746","medici generici"
"16","1","3108","odontoiatri"
"16","1","1103","ostetriche"
"16","1","23592","professioni sanitarie infermieristiche"
"16","1","4637","farmacisti"
"17","1","1396","medici specialisti"
"17","1","585","medici generici"
"17","1","372","odontoiatri"
"17","1","167","ostetriche"
"17","1","3623","professioni sanitarie infermieristiche"
"17","1","785","farmacisti"
"18","1","5466","medici specialisti"
"18","1","1984","medici generici"
"18","1","1677","odontoiatri"
"18","1","441","ostetriche"
"18","1","9294","professioni sanitarie infermieristiche"
"18","1","2722","farmacisti"
"19","1","16443","medici specialisti"
"19","1","5051","medici generici"
"19","1","3369","odontoiatri"
"19","1","1149","ostetriche"
"19","1","26732","professioni sanitarie infermieristiche"
"19","1","5241","farmacisti"
"20","1","6216","medici specialisti"
"20","1","1623","medici generici"
"20","1","1318","odontoiatri"
"20","1","569","ostetriche"
"20","1","8582","professioni sanitarie infermieristiche"
"20","1","2394","farmacisti"
"1","2","17525","personale rsa"
"2","2","496","personale rsa"
"7","2","5705","personale rsa"
"3","2","41777","personale rsa"
"4","2","5038","personale rsa"
"5","2","18377","personale rsa"
"6","2","5453","personale rsa"
"8","2","15582","personale rsa"
"9","2","9442","personale rsa"
"10","2","1652","personale rsa"
"11","2","3806","personale rsa"
"12","2","9248","personale rsa"
"13","2","3950","personale rsa"
"14","2","1093","personale rsa"
"15","2","3302","personale rsa"
"16","2","5027","personale rsa"
"17","2","817","personale rsa"
"18","2","2678","personale rsa"
"19","2","11434","personale rsa"
"20","2","2887","personale rsa"
"1","3","80033","personale scolastico e universitario, docente e non docente"
"2","3","2321","personale scolastico e universitario, docente e non docente"
"3","3","186151","personale scolastico e universitario, docente e non docente"
"4","3","20013","personale scolastico e universitario, docente e non docente"
"5","3","90575","personale scolastico e universitario, docente e non docente"
"6","3","22392","personale scolastico e universitario, docente e non docente"
"7","3","28307","personale scolastico e universitario, docente e non docente"
"8","3","82871","personale scolastico e universitario, docente e non docente"
"9","3","68548","personale scolastico e universitario, docente e non docente"
"10","3","16154","personale scolastico e universitario, docente e non docente"
"11","3","28081","personale scolastico e universitario, docente e non docente"
"12","3","106848","personale scolastico e universitario, docente e non docente"
"13","3","24020","personale scolastico e universitario, docente e non docente"
"14","3","5579","personale scolastico e universitario, docente e non docente"
"15","3","106039","personale scolastico e universitario, docente e non docente"
"16","3","73388","personale scolastico e universitario, docente e non docente"
"17","3","10271","personale scolastico e universitario, docente e non docente"
"18","3","35162","personale scolastico e universitario, docente e non docente"
"19","3","90504","personale scolastico e universitario, docente e non docente"
"20","3","29918","personale scolastico e universitario, docente e non docente"
"1","3","39870","forze armate, polizia, guardia di finanza, guardia costiera e vigili del fuoco"
"2","3","1156","forze armate, polizia, guardia di finanza, guardia costiera e vigili del fuoco"
"3","3","92736","forze armate, polizia, guardia di finanza, guardia costiera e vigili del fuoco"
"4","3","9970","forze armate, polizia, guardia di finanza, guardia costiera e vigili del fuoco"
"5","3","45122","forze armate, polizia, guardia di finanza, guardia costiera e vigili del fuoco"
"6","3","11155","forze armate, polizia, guardia di finanza, guardia costiera e vigili del fuoco"
"7","3","14102","forze armate, polizia, guardia di finanza, guardia costiera e vigili del fuoco"
